                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0134,                 5.2719,                 4.1902,                 3.9471,                 16.294,                 4.2339,                0.00053,                0.15789,                0.00036,                0.00022,                  3.101,                 4.8917,                 4.1584,                 2.9982,                 17.515,                 4.1585,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.6407,                 4.9713,                 4.1981,                 3.5543,                 14.693,                 4.2335,                0.00053,                0.15789,                0.00035,                 0.0002,                 3.1015,                 4.8931,                 4.1574,                 2.9992,                 17.525,                 4.1579,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      3,                 3.7058,                 5.0722,                 4.1761,                 3.5518,                 15.112,                 4.2432,                0.00053,                0.15789,                0.00037,                0.00022,                 3.1008,                 4.8933,                 4.1557,                 2.9998,                 17.529,                 4.1569,             0.00015842,             0.00015842,             0.00015842
                      4,                  3.886,                 5.0029,                   4.17,                  3.809,                 14.614,                 4.2065,                0.00053,                0.15789,                0.00036,                0.00019,                 3.0983,                 4.8928,                 4.1529,                 2.9995,                 17.526,                 4.1556,             0.00021673,             0.00021673,             0.00021673
                      5,                 3.5368,                 5.1813,                 4.1498,                 3.3531,                 15.317,                 4.2492,                0.00053,                0.15789,                0.00036,                0.00021,                 3.0941,                 4.8911,                 4.1485,                 2.9989,                 17.516,                 4.1539,             0.00027446,             0.00027446,             0.00027446
                      6,                 3.8167,                  4.832,                 4.0923,                 3.8053,                 13.385,                 4.1158,                0.00053,                0.15789,                0.00039,                0.00019,                  3.087,                 4.8883,                 4.1418,                 2.9974,                 17.493,                 4.1515,             0.00033159,             0.00033159,             0.00033159
                      7,                 4.0153,                 5.1492,                 4.1454,                 3.7129,                 14.519,                 4.2189,                0.00053,                0.15789,                0.00038,                0.00022,                 3.0776,                 4.8837,                 4.1329,                 2.9958,                 17.462,                 4.1486,             0.00038812,             0.00038812,             0.00038812
                      8,                 3.9291,                 4.9396,                 4.0659,                 3.8057,                 13.602,                 4.0829,                0.00053,                0.15789,                 0.0004,                0.00023,                 3.0672,                 4.8781,                 4.1217,                 2.9964,                 17.431,                 4.1455,             0.00044406,             0.00044406,             0.00044406
                      9,                 3.6369,                 4.8989,                 4.0496,                 3.4458,                 12.839,                 4.2343,                0.00053,                0.15789,                0.00038,                0.00022,                 3.0554,                 4.8716,                 4.1082,                 3.0015,                 17.404,                 4.1426,             0.00049941,             0.00049941,             0.00049941
                     10,                 3.4741,                 4.7805,                 4.0121,                 3.2851,                 12.005,                 4.0741,                0.00053,                0.15789,                0.00045,                0.00024,                 3.0429,                 4.8643,                 4.0934,                  3.011,                 17.384,                 4.1402,             0.00055416,             0.00055416,             0.00055416
                     11,                   3.63,                 4.6887,                 3.9247,                 3.4962,                 11.867,                 4.0155,                0.00053,                0.15789,                 0.0005,                0.00028,                 3.0187,                 4.8536,                 4.0738,                 3.0225,                 17.361,                 4.1377,             0.00060832,             0.00060832,             0.00060832
                     12,                 3.6743,                 4.7356,                 3.8406,                 3.6513,                 12.011,                 4.0085,                0.00053,                0.15789,                0.00046,                0.00024,                 2.9661,                 4.8388,                 4.0441,                 3.0284,                 17.299,                 4.1329,             0.00066188,             0.00066188,             0.00066188
                     13,                 3.4983,                 4.7927,                 3.6903,                 3.5872,                 11.764,                 3.8737,                0.00053,                0.15789,                0.00042,                0.00024,                 2.9524,                 4.8297,                 4.0306,                 3.0444,                 17.248,                 4.1298,             0.00071486,             0.00071486,             0.00071486
                     14,                 3.2138,                 4.5714,                   3.65,                 2.7963,                 9.9451,                 3.7495,                0.00053,                0.15789,                0.00035,                0.00021,                 2.9524,                 4.8199,                 4.0194,                 3.0562,                 17.152,                 4.1244,             0.00076723,             0.00076723,             0.00076723
                     15,                 2.9246,                 4.5607,                 3.7056,                 2.6923,                 10.383,                 3.8281,                0.00053,                0.15789,                0.00032,                0.00019,                 2.9235,                 4.7989,                 3.9958,                 3.0471,                 16.931,                 4.1128,             0.00081902,             0.00081902,             0.00081902
                     16,                 3.0452,                 4.3021,                 3.3629,                 2.6425,                 8.7336,                 3.3986,                0.00053,                0.15789,                0.00031,                  5e-05,                 3.0222,                 4.7931,                 4.0183,                 3.0753,                 16.748,                 4.1101,             0.00087021,             0.00087021,             0.00087021
